call_id,company_name,contact_role,industry,deal_stage,extracted_objections,buying_triggers,competitor_mentions,urgency_signals,budget_signals,pain_category,pitch_confusion_signals,narrative_gaps,risk_flags,founder_next_action,icp_fit_score,fit_category,top_fit_reasons,pain_intensity_score,urgency_score,budget_score,follow_up_clarity_score,pitch_clarity_score,implementation_risk_score,competitor_risk_score,deal_rescue_priority_score
CALL-001,Northstar Ledger,Founder,Fintech,Evaluation,Price,board meeting,Gong; Fireflies; Hubspot; Notion,High urgency: next week; High urgency: before board meeting,High budget signal: budget allocated,weekly gtm learning,None detected,proof; roi,Unresolved objection; Competitor comparison risk; Time-sensitive follow-up,"Send a concise ROI angle tied to slipped follow-ups, rescued deals, and founder time.",90,Strong fit,Target industry: Fintech; Target company stage: Seed; Employee count in target range: 28; Decision-maker involved: Founder; Strong fit signal: follow-ups are slipping,90,90,85,90,80,20,75,86
CALL-002,ApexOps AI,CEO,AI SaaS,Proposal,Security; Integrations; Stakeholder Alignment,pipeline review; missed forecast,Gong; Salesforce,Medium urgency: this month,High budget signal: approved budget,pipeline risk visibility,None detected,workflow,Unresolved objection; Implementation risk,"Send ApexOps AI an offline-data and security proof pack, then ask for the exact review owner.",65,Medium fit,Target industry: AI SaaS; Target company stage: Series A; Employee count in target range: 74; Decision-maker involved: CEO; Relevant pain: pipeline risk visibility,90,60,85,90,90,80,10,73
CALL-003,CloudForge Labs,Head of Growth,B2B SaaS,Discovery,Timing,fundraising,Spreadsheet,Low urgency: next quarter,"Low budget signal: no budget, after fundraising",weekly gtm learning,None detected,None detected,Unresolved objection; Budget risk; Weak urgency; Next step needs tightening,Send a direct recap with one decision question and a dated next-step request.,35,Weak fit,Target industry: B2B SaaS; Target company stage: Pre-seed; Employee count in target range: 9; Decision-maker involved: Head of Growth; Weak fit signal: outbound leads,55,20,15,55,100,20,10,54
CALL-004,Beacon Medical Admin,Founder,Healthtech,Demo,Security,pipeline review,Fathom; Pipedrive; Google Sheets,None detected,"Medium budget signal: budget if, can find budget",objection pattern visibility,None detected,example; before and after; workflow,Unresolved objection; Implementation risk,"Send Beacon Medical Admin an offline-data and security proof pack, then ask for the exact review owner.",65,Medium fit,Target industry: Healthtech; Target company stage: Seed; Employee count in target range: 42; Decision-maker involved: Founder; Relevant pain: objection pattern visibility,55,0,55,90,70,80,10,62
CALL-005,LedgerLift,RevOps Lead,Fintech,Evaluation,Price; Switching Cost; Stakeholder Alignment,None detected,Salesforce; Airtable,Medium urgency: this quarter,High budget signal: vendor budget,weekly gtm learning,unclear,workflow,Unresolved objection; Pitch confusion; Next step needs tightening; Implementation risk; Founder or decision-maker not confirmed,Ask for the missing stakeholder call and prepare a founder-led recap by buyer role.,55,Medium fit,Target industry: Fintech; Target company stage: Series A; Employee count in target range: 115; Relevant pain: weekly gtm learning; Decision-maker not confirmed,90,60,85,55,75,80,10,93
CALL-006,Atlas FreightOS,Founder,Operations software,Pilot,Integrations,None detected,Gong; Hubspot,High urgency: this week; High urgency: stalled; Medium urgency: pilot,High budget signal: can pay,objection pattern visibility,unclear,proof,Unresolved objection; Pitch confusion; Implementation risk; Time-sensitive follow-up,Map the current-tool export path for Atlas FreightOS and propose a low-migration pilot.,65,Medium fit,Target industry: Operations software; Target company stage: Seed; Employee count in target range: 36; Decision-maker involved: Founder; Relevant pain: objection pattern visibility,90,90,85,90,75,80,10,85
CALL-007,OrbitDesk,COO,Founder-led services,Discovery,Price; Timing; Lack Of Urgency,None detected,Notion; Google Sheets,Low urgency: no rush; Low urgency: curious; Low urgency: not urgent,Low budget signal: budget is tight,follow-up leakage,None detected,None detected,Unresolved objection; Budget risk; Weak urgency; Next step needs tightening,"Send a concise ROI angle tied to slipped follow-ups, rescued deals, and founder time.",65,Medium fit,Target industry: Founder-led services; Target company stage: Bootstrapped; Employee count in target range: 18; Decision-maker involved: COO; Relevant pain: follow-up leakage,20,20,15,55,100,20,10,55
CALL-008,NovaHire AI,Founder,AI SaaS,Demo,Price,None detected,Fireflies; Attio,Medium urgency: this month,"Medium budget signal: budget if, can find budget",narrative clarity,confused; is this a crm; unclear,proof; roi; before and after; category,Unresolved objection; Pitch confusion; Next step needs tightening; Implementation risk,"Send a concise ROI angle tied to slipped follow-ups, rescued deals, and founder time.",65,Medium fit,Target industry: AI SaaS; Target company stage: Seed; Employee count in target range: 24; Decision-maker involved: Founder; Relevant pain: narrative clarity,55,60,55,55,15,80,10,86
CALL-009,Prism Security Works,VP Sales,B2B SaaS,Evaluation,Price,None detected,Gong; Salesforce,Medium urgency: this quarter,Budget mentioned but not clear,objection pattern visibility,None detected,roi,Unresolved objection; Competitor comparison risk; Next step needs tightening,"Send a concise ROI angle tied to slipped follow-ups, rescued deals, and founder time.",65,Medium fit,Target industry: B2B SaaS; Target company stage: Series A; Employee count in target range: 160; Decision-maker involved: VP Sales; Relevant pain: objection pattern visibility,55,60,55,55,90,20,75,80
CALL-010,Helio Support,Founder,B2B SaaS,Proposal,Price,None detected,Hubspot; Google Sheets,High urgency: before monday; Medium urgency: pilot,Medium budget signal: pilot budget,weekly gtm learning,None detected,None detected,Unresolved objection; Time-sensitive follow-up,"Send a concise ROI angle tied to slipped follow-ups, rescued deals, and founder time.",65,Medium fit,Target industry: B2B SaaS; Target company stage: Seed; Employee count in target range: 31; Decision-maker involved: Founder; Relevant pain: weekly gtm learning,90,90,55,90,100,20,10,68
