task_id,company_name,priority,deal_stage,founder_next_action,reason,suggested_followup_message,due_timing,rescue_risk,expected_leverage
DRQ-001,LedgerLift,High,Evaluation,Ask for the missing stakeholder call and prepare a founder-led recap by buyer role.,Medium fit with ICP score 55; strong pain; budget signal present; next step is not tight enough; objection unresolved: Price; Switching Cost; Stakeholder Alignment,Thanks for the call. I pulled out the main blocker as Price; Switching Cost; Stakeholder Alignment. My suggested next step is: Ask for the missing stakeholder call and prepare a founder-led recap by buyer role. Would it be useful to pressure-test this with the right owner this week?,Within 24 hours,Prospect may misunderstand the category and compare against the wrong tool.,Medium leverage because budget exists but the blocker still needs a sharper proof point.
DRQ-002,Northstar Ledger,High,Evaluation,"Send a concise ROI angle tied to slipped follow-ups, rescued deals, and founder time.",Strong fit with ICP score 90; strong pain; time-sensitive urgency; budget signal present; objection unresolved: Price,"Thanks for the call. I pulled out the main blocker as Price. My suggested next step is: Send a concise ROI angle tied to slipped follow-ups, rescued deals, and founder time. Would it be useful to pressure-test this with the right owner this week?",Within 24 hours,Prospect may default to an existing CRM or call recording tool.,High leverage because a founder response can convert live pain into a clear next step.
DRQ-003,NovaHire AI,High,Demo,"Send a concise ROI angle tied to slipped follow-ups, rescued deals, and founder time.",Medium fit with ICP score 65; budget signal present; next step is not tight enough; objection unresolved: Price,"Thanks for the call. I pulled out the main blocker as Price. My suggested next step is: Send a concise ROI angle tied to slipped follow-ups, rescued deals, and founder time. Would it be useful to pressure-test this with the right owner this week?",Within 24 hours,Prospect may misunderstand the category and compare against the wrong tool.,Medium leverage because budget exists but the blocker still needs a sharper proof point.
DRQ-004,Atlas FreightOS,High,Pilot,Map the current-tool export path for Atlas FreightOS and propose a low-migration pilot.,Medium fit with ICP score 65; strong pain; time-sensitive urgency; budget signal present; objection unresolved: Integrations,Thanks for the call. I pulled out the main blocker as Integrations. My suggested next step is: Map the current-tool export path for Atlas FreightOS and propose a low-migration pilot. Would it be useful to pressure-test this with the right owner this week?,Within 24 hours,Prospect may misunderstand the category and compare against the wrong tool.,Medium leverage because budget exists but the blocker still needs a sharper proof point.
DRQ-005,ValeoWorks,High,Negotiation,"Send ValeoWorks an offline-data and security proof pack, then ask for the exact review owner.",Medium fit with ICP score 65; time-sensitive urgency; budget signal present; objection unresolved: Security,"Thanks for the call. I pulled out the main blocker as Security. My suggested next step is: Send ValeoWorks an offline-data and security proof pack, then ask for the exact review owner. Would it be useful to pressure-test this with the right owner this week?",Within 24 hours,Deal may drift without founder-owned follow-up.,Medium leverage because budget exists but the blocker still needs a sharper proof point.
DRQ-006,Helio Support,High,Proposal,"Send a concise ROI angle tied to slipped follow-ups, rescued deals, and founder time.",Medium fit with ICP score 65; strong pain; time-sensitive urgency; budget signal present; objection unresolved: Price,"Thanks for the call. I pulled out the main blocker as Price. My suggested next step is: Send a concise ROI angle tied to slipped follow-ups, rescued deals, and founder time. Would it be useful to pressure-test this with the right owner this week?",Within 24 hours,Deal may drift without founder-owned follow-up.,Medium leverage because budget exists but the blocker still needs a sharper proof point.
DRQ-007,Prism Security Works,Medium,Evaluation,"Send a concise ROI angle tied to slipped follow-ups, rescued deals, and founder time.",Medium fit with ICP score 65; budget signal present; next step is not tight enough; objection unresolved: Price,"Thanks for the call. I pulled out the main blocker as Price. My suggested next step is: Send a concise ROI angle tied to slipped follow-ups, rescued deals, and founder time. Would it be useful to pressure-test this with the right owner this week?",Within 2 business days,Prospect may default to an existing CRM or call recording tool.,Medium leverage because budget exists but the blocker still needs a sharper proof point.
DRQ-008,ApexOps AI,Medium,Proposal,"Send ApexOps AI an offline-data and security proof pack, then ask for the exact review owner.",Medium fit with ICP score 65; strong pain; budget signal present; objection unresolved: Security; Integrations; Stakeholder Alignment,"Thanks for the call. I pulled out the main blocker as Security; Integrations; Stakeholder Alignment. My suggested next step is: Send ApexOps AI an offline-data and security proof pack, then ask for the exact review owner. Would it be useful to pressure-test this with the right owner this week?",Within 2 business days,Deal may drift without founder-owned follow-up.,Medium leverage because budget exists but the blocker still needs a sharper proof point.
DRQ-009,Synapse LegalOps,Medium,Demo,"Send Synapse LegalOps an offline-data and security proof pack, then ask for the exact review owner.",Medium fit with ICP score 65; budget signal present; next step is not tight enough; objection unresolved: Security,"Thanks for the call. I pulled out the main blocker as Security. My suggested next step is: Send Synapse LegalOps an offline-data and security proof pack, then ask for the exact review owner. Would it be useful to pressure-test this with the right owner this week?",Within 2 business days,Momentum may stall because the next step is not concrete.,Medium leverage because budget exists but the blocker still needs a sharper proof point.
DRQ-010,Beacon Medical Admin,Medium,Demo,"Send Beacon Medical Admin an offline-data and security proof pack, then ask for the exact review owner.",Medium fit with ICP score 65; budget signal present; objection unresolved: Security,"Thanks for the call. I pulled out the main blocker as Security. My suggested next step is: Send Beacon Medical Admin an offline-data and security proof pack, then ask for the exact review owner. Would it be useful to pressure-test this with the right owner this week?",Within 2 business days,Deal may drift without founder-owned follow-up.,Medium leverage because budget exists but the blocker still needs a sharper proof point.
