call_id,call_date,company_name,contact_role,company_stage,employee_count,industry,lead_source,call_notes,current_tooling,stated_pain,budget_signal,timeline_signal,next_step,deal_stage
CALL-001,2026-04-20,Northstar Ledger,Founder,Seed,28,Fintech,Founder referral,"Founder has 22 discovery notes across Notion and HubSpot. Said follow-ups are slipping before their board meeting. Asked if this is different from Gong because Gong records calls but does not tell them what to change in the pitch. Price came up but pain was strong.","HubSpot, Notion, Fireflies","Cannot tell which objections repeat and board wants cleaner GTM learning.","Budget allocated for sales ops tooling if ROI is clear.","Before board meeting next week","Send ROI proof point and book 30 minute rescue review with founder and ops lead.",Evaluation
CALL-002,2026-04-21,ApexOps AI,CEO,Series A,74,AI SaaS,Inbound demo request,"Messy call. CEO said pipeline review is chaos, reps put half notes in Slack, founder still jumps in to rescue late-stage deals. They liked weekly memo output. Concern: Salesforce integration and security review. Clear urgency this month.","Salesforce, Slack, Gong","Missed forecast because deal risks were noticed too late.","Approved budget for RevOps workflow if security is acceptable.","This month","Schedule technical review and send security checklist.",Proposal
CALL-003,2026-04-21,CloudForge Labs,Head of Growth,Pre-seed,9,B2B SaaS,LinkedIn,"Interested but vague. They run only three calls a month and mostly want more outbound leads. Asked for cold email drafts. Call notes are in Google Docs but founder said not a major problem yet. No clear next step.","Google Docs, spreadsheet","Wants more top-of-funnel volume, not post-call learning.","No budget until after fundraising.","Next quarter maybe","Send founder use-case doc and revisit after they have more sales calls.",Discovery
CALL-004,2026-04-22,Beacon Medical Admin,Founder,Seed,42,Healthtech,Community intro,"Founder said every buyer asks about HIPAA and implementation effort. They lose track of stakeholder objections after demos. Strong pain, but they are nervous about data privacy and legal review. Asked for before and after examples.","Pipedrive, Fathom, Google Sheets","Security and implementation objections keep repeating and the founder forgets patterns.","Can find budget if compliance workflow is credible.","Before next pipeline review","Send security-oriented workflow example and schedule legal-risk walkthrough.",Demo
CALL-005,2026-04-22,LedgerLift,RevOps Lead,Series A,115,Fintech,Partner referral,"RevOps lead already built a dashboard in Airtable. Pain is manual narrative synthesis for Monday meeting. Objection: switching cost and who owns weekly updates. Budget exists, but founder was not on call and alignment is unclear.","Airtable, Salesforce","Airtable tracks fields but does not explain why deals are stuck.","Approved vendor budget.","This quarter","Ask for founder sponsor call and share migration-light workflow.",Evaluation
CALL-006,2026-04-23,Atlas FreightOS,Founder,Seed,36,Operations software,Outbound reply,"Founder said sales calls expose the same integration concern with TMS tools. Strong urgency because three pilots are stalled. Wants a deal rescue queue by Friday. Budget is unclear but pain is very high.","HubSpot, Slack, Gong","Three pilot deals are stalled on integrations and unclear proof.","Budget unclear, can pay if it helps rescue pilots.","This week","Send integration objection response angle and propose Friday rescue session.",Pilot
CALL-007,2026-04-23,OrbitDesk,COO,Bootstrapped,18,Founder-led services,Newsletter,"COO liked structured notes but said founder does most selling from memory. Concern that this may be too much process. Follow-up is vague. They are curious and not urgent.","Notion, Google Sheets","Founder memory drives follow-up and lessons are not written down.","Budget is tight.","No rush","Send lightweight weekly rhythm and ask if they want a trial template.",Discovery
CALL-008,2026-04-24,NovaHire AI,Founder,Seed,24,AI SaaS,Founder referral,"Good call, but founder kept asking: is this a CRM, analytics, or coaching tool? Pitch confused them. Pain is real because hiring customers ask for ROI proof and implementation timeline. Next step unclear after they asked to think.","Attio, Fireflies","Hard to connect call objections to homepage and deck messaging.","Can find budget if value is obvious.","This month","Send crisp category framing and one-page before and after memo.",Demo
CALL-009,2026-04-24,Prism Security Works,VP Sales,Series A,160,B2B SaaS,Inbound demo request,"VP Sales has clear budget and Gong in place. Pain was weaker: they mostly want managers to listen to calls. Objection that Gong already has trackers. Asked for competitor comparison and ROI evidence.","Gong, Salesforce","Managers need better call coaching, but GTM learning is not the main pain.","Approved sales tooling budget.","This quarter","Send competitor comparison focused on founder learning versus call recording.",Evaluation
CALL-010,2026-04-25,Helio Support,Founder,Seed,31,B2B SaaS,Community intro,"Founder has 40 support-led sales notes in Slack and HubSpot. Strong pain: cannot tell which objections belong to SMB versus mid-market. Asked for weekly sales learning memo before Monday. Price concern but urgency is real.","HubSpot, Slack, Google Sheets","Segment-specific objections are hidden in messy notes.","Pilot budget available if setup is simple.","Before Monday GTM review","Send sample memo and ask for 10 notes to run first pilot.",Proposal
